Vacabulary length : 15336
postive words : 14674
negative words : 14374
probability (positive) : -0.04412578545154091
probability (negative) : -0.0647819866970925
count    word    log(pos/neg)
1.  mulan    4.356708826689592
2.  flynt    4.127134385045092
3.  lebowski    3.6888794541139363
4.  religion    3.4965075614664802
5.  anna    3.4339872044851463
6.  crowe    3.332204510175204
7.  jude    3.332204510175204
8.  frequency    3.2188758248682006
9.  margaret    3.1780538303479458
10.  obiwan    3.1780538303479458
11.  winslet    3.1354942159291497
12.  nello    3.044522437723423
13.  cauldron    3.0204248861443626
14.  damon    2.995732273553991
15.  africans    2.995732273553991
16.  pleasantville    2.995732273553991
17.  vulnerable    2.9444389791664403
18.  benigni    2.8903717578961645
19.  hatred    2.8903717578961645
20.  egoyan    2.8903717578961645


count    word    log(neg/pos)
1.  werewolf    3.258096538021482
2.  magoo    3.2188758248682006
3.  jakob    3.2188758248682006
4.  jawbreaker    3.1780538303479458
5.  hudson    3.1354942159291497
6.  schumacher    3.044522437723423
7.  chuckle    3.044522437723423
8.  insulting    3.044522437723423
9.  uninvolving    2.9444389791664403
10.  dalmatians    2.9444389791664403
11.  sammy    2.772588722239781
12.  ludicrous    2.740840023925201
13.  illogical    2.70805020110221
14.  simmons    2.70805020110221
15.  darryl    2.6390573296152584
16.  buster    2.6390573296152584
17.  idiotic    2.6390573296152584
18.  macleane    2.5649493574615367
19.  julian    2.5649493574615367
20.  alicia    2.5257286443082556
